frame	left	top	right	bottom
0	266	111	607	625
1	266	111	607	625
2	266	111	607	625
3	266	111	891	701
4	265	113	909	709
5	264	113	925	710
6	264	113	939	711
7	262	113	943	709
8	262	113	942	705
9	260	115	939	703
10	259	115	938	697
11	259	115	937	695
12	259	115	943	695
13	255	117	941	693
14	255	117	942	693
15	255	117	941	691
16	255	117	941	691
17	255	117	943	689
18	253	117	941	689
19	253	117	939	689
20	253	117	937	689
21	251	118	936	689
22	251	118	935	689
23	251	118	934	689
24	252	117	933	689
25	253	117	933	689
26	253	117	933	689
27	254	117	933	689
28	254	117	933	689
29	254	117	933	689
30	257	115	933	688
31	257	115	932	688
32	257	115	932	688
33	259	115	932	688
34	259	115	932	689
35	259	115	931	688
36	260	113	931	688
37	260	113	931	688
38	261	113	931	688
39	262	113	931	688
40	262	113	931	689
41	263	113	931	689
42	265	113	931	689
43	265	113	930	689
44	265	113	930	689
45	266	111	930	689
46	266	111	930	689
47	266	111	930	689
48	266	111	930	689
49	266	111	929	689
50	265	113	929	689
51	265	113	929	689
52	265	113	929	689
53	262	113	929	689
54	262	113	929	689
55	262	113	929	689
56	260	115	929	689
57	260	115	929	689
58	260	115	929	689
59	258	115	929	689
60	258	115	928	689
61	258	115	928	689
62	254	117	928	689
63	254	117	928	689
64	254	117	928	689
65	253	117	928	689
66	253	117	927	689
67	253	117	927	689
68	251	118	927	689
69	251	118	927	689
70	252	118	927	689
71	252	118	927	689
72	252	118	927	689
73	253	117	927	689
74	253	117	926	689
75	253	117	925	689
76	255	115	925	689
77	255	116	925	689
78	256	116	924	690
79	257	115	924	691
80	257	115	924	691
81	257	115	923	691
82	259	114	923	691
83	259	114	923	692
84	259	114	921	693
85	261	113	921	691
86	261	113	919	693
87	261	113	915	697
88	263	113	911	696
89	263	113	907	697
90	263	113	901	697
91	265	112	607	623
92	264	112	607	625
93	265	112	607	623
94	266	111	607	625
95	266	111	607	625
96	266	111	607	625
