frame	left	top	right	bottom
0	0	0	960	720
1	0	0	960	720
2	0	0	960	720
3	0	0	960	720
4	0	0	960	720
5	0	0	960	720
6	0	0	960	720
7	0	0	960	720
8	0	0	960	720
9	0	0	960	720
10	0	0	960	720
11	0	0	960	720
12	0	0	960	720
13	0	0	960	720
14	0	0	960	720
15	0	0	960	720
16	0	0	960	720
17	0	0	960	720
18	0	0	960	720
19	0	0	960	720
20	0	0	960	720
21	0	0	960	720
22	0	0	960	720
23	0	0	960	720
24	0	0	960	720
25	0	0	960	720
26	0	0	960	720
27	0	0	960	720
28	0	0	960	720
29	0	0	960	720
30	0	0	960	720
31	0	0	960	720
32	0	0	960	720
33	0	0	960	720
34	0	0	960	720
35	0	0	960	720
36	0	0	960	720
37	0	0	960	720
38	0	0	960	720
39	0	0	960	720
40	0	0	960	720
41	0	0	960	720
42	0	0	960	720
43	0	0	960	720
44	0	0	960	720
45	0	0	960	720
46	0	0	960	720
47	0	0	960	720
48	0	0	960	720
49	0	0	960	720
50	0	0	960	720
51	0	0	960	720
52	0	0	960	720
53	0	0	960	720
54	0	0	960	720
55	0	0	960	720
56	0	0	960	720
57	0	0	960	720
58	0	0	960	720
59	0	0	960	720
60	0	0	960	720
61	0	0	960	720
62	0	0	960	720
63	0	0	960	720
64	0	0	960	720
65	0	0	960	720
66	0	0	960	720
67	0	0	960	720
68	0	0	960	720
69	0	0	960	720
70	0	0	960	720
71	0	0	960	720
72	0	0	960	720
73	0	0	960	720
74	0	0	960	720
75	0	0	960	720
76	0	0	960	720
77	0	0	960	720
78	0	0	960	720
79	0	0	960	720
80	0	0	960	720
81	0	0	960	720
82	0	0	960	720
83	0	0	960	720
84	0	0	960	720
85	0	0	960	720
86	0	0	960	720
87	0	0	960	720
88	0	0	960	720
89	0	0	960	720
90	0	0	960	720
91	0	0	960	720
92	0	0	960	720
93	0	0	960	720
94	0	0	960	720
95	0	0	960	720
96	0	0	960	720
